iter	Passed	Remaining
0	2	213
1	3	187
2	5	180
3	6	165
4	8	163
5	10	158
6	14	190
7	17	199
8	19	192
9	20	187
10	22	181
11	24	178
12	26	175
13	30	185
14	33	190
15	35	186
16	37	182
17	40	186
18	44	190
19	46	185
20	47	180
21	49	176
22	51	172
23	53	168
24	55	167
25	59	170
26	63	172
27	65	169
28	67	166
29	70	163
30	72	160
31	74	158
32	76	155
33	78	152
34	80	149
35	82	147
36	84	144
37	86	141
38	90	141
39	92	139
40	95	137
41	96	132
42	100	132
43	102	130
44	104	127
45	106	124
46	108	122
47	111	120
48	125	131
49	128	128
50	136	131
51	139	128
52	141	125
53	145	123
54	147	120
55	149	117
56	151	114
57	153	111
58	156	108
59	157	105
60	159	101
61	162	99
62	165	97
63	167	94
64	169	91
65	171	88
66	172	85
67	174	82
68	178	80
69	182	78
70	185	75
71	187	72
72	191	70
73	193	68
74	195	65
75	196	62
76	198	59
77	200	56
78	202	53
79	203	50
80	205	48
81	211	46
82	213	43
83	214	40
84	216	38
85	218	35
86	219	32
87	222	30
88	227	28
89	230	25
90	232	22
91	235	20
92	238	17
93	240	15
94	242	12
95	244	10
96	246	7
97	247	5
98	249	2
99	250	0
